"Местное время в Красноярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.05.2024 07:00";"12.4";"740.1";"756.7";"";"47";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"11.5";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"11.05.2024 04:00";"12.3";"739.6";"756.2";"";"43";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.1";"";"";"";"";"";"";
"11.05.2024 01:00";"15.0";"739.6";"756.0";"";"37";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"10.05.2024 22:00";"17.4";"740.0";"756.3";"";"28";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.6";"";"";"";"";"";"";
"10.05.2024 19:00";"21.4";"740.8";"756.9";"";"16";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";" ";"";"";"";"23.0";"";"";"";"";"";"";"-5.4";"";"";"";"";"";"";
"10.05.2024 16:00";"22.4";"742.2";"758.3";"";"15";"Ветер, дующий с востоко-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"10.05.2024 13:00";"19.4";"745.0";"761.2";"";"17";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.4";"";"";"";"";"";"";
"10.05.2024 10:00";"14.6";"747.2";"763.9";"";"33";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.8";"";"";"";"";"";"";
"10.05.2024 07:00";"4.5";"749.5";"766.8";"";"64";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"2.9";"";"";"";"";"";"";"";"-1.8";"";"";"";"";"";"";
"10.05.2024 04:00";"4.3";"749.5";"766.9";"";"63";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"10.05.2024 01:00";"7.3";"750.4";"767.5";"";"51";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"09.05.2024 22:00";"10.8";"750.5";"767.5";"";"37";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.4";"";"";"";"";"";"";
"09.05.2024 19:00";"15.9";"749.9";"766.5";"";"24";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"17.3";"";"";"";"";"";"";"-4.5";"";"";"";"";"";"";
"09.05.2024 16:00";"17.1";"749.4";"765.9";"";"20";"Ветер, дующий с севера";"2";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.2";"";"";"";"";"";"";
"09.05.2024 13:00";"14.8";"749.0";"765.7";"";"23";"Ветер, дующий с северо-запада";"3";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.5";"";"";"";"";"";"";
"09.05.2024 10:00";"11.4";"749.2";"766.1";"";"31";"Ветер, дующий с западо-юго-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"09.05.2024 07:00";"8.7";"749.2";"766.3";"";"46";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"7.8";"";"";"";"";"";"";"";"-2.3";"";"";"";"";"";"";
"09.05.2024 04:00";"8.9";"747.8";"764.8";"";"46";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.2";"";"";"";"";"";"";
"09.05.2024 01:00";"10.4";"747.3";"764.2";"";"48";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"08.05.2024 22:00";"13.7";"745.6";"762.3";"";"42";"Ветер, дующий с северо-северо-запада";"3";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";
"08.05.2024 19:00";"19.6";"743.2";"759.4";"";"20";"Ветер, дующий с запада";"3";"";"10";"";" ";"";"";"";"21.8";"";"";"";"";"";"";"-4.1";"";"";"";"";"";"";
"08.05.2024 16:00";"19.6";"743.4";"759.7";"";"18";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.5";"";"";"";"";"";"";
"08.05.2024 13:00";"18.7";"743.7";"760.0";"";"20";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.7";"";"";"";"";"";"";
"08.05.2024 10:00";"12.2";"744.2";"760.9";"";"38";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.8";"";"";"";"";"";"";
"08.05.2024 07:00";"5.0";"745.9";"763.0";"";"60";"Штиль, безветрие";"0";"";"";"";" ";"";"";"3.4";"";"";"";"";"";"";"";"-2.3";"";"";"";"";"";"";
"08.05.2024 04:00";"4.4";"747.7";"765.0";"";"56";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.6";"";"";"";"";"";"";
"08.05.2024 01:00";"6.5";"749.8";"766.9";"";"48";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.9";"";"";"";"";"";"";
"07.05.2024 22:00";"10.9";"751.9";"768.8";"";"30";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.1";"";"";"";"";"";"";
"07.05.2024 19:00";"17.3";"753.0";"769.6";"";"17";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"18.7";"";"";"";"";"";"";"-8.3";"";"";"";"";"";"";
"07.05.2024 16:00";"17.6";"754.0";"770.7";"";"18";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.3";"";"";"";"";"";"";
"07.05.2024 13:00";"14.5";"755.3";"772.1";"";"22";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"07.05.2024 10:00";"11.2";"755.5";"772.6";"";"35";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.7";"";"";"";"";"";"";
"07.05.2024 07:00";"4.1";"754.8";"772.2";"";"72";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"2.6";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"07.05.2024 04:00";"3.8";"753.1";"770.6";"";"73";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"07.05.2024 01:00";"6.6";"750.2";"767.4";"";"62";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.2";"";"";"";"";"";"";
"06.05.2024 22:00";"11.5";"748.5";"765.4";"";"37";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"06.05.2024 19:00";"15.2";"746.0";"762.6";"";"33";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"15.2";"";"";"";"";"";"";"-1.2";"";"";"";"";"";"";
"06.05.2024 16:00";"14.3";"744.0";"760.6";"";"50";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"06.05.2024 13:00";"12.6";"741.1";"757.6";"";"75";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"06.05.2024 10:00";"11.9";"737.2";"753.7";"";"79";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"06.05.2024 07:00";"12.4";"733.8";"750.1";"";"77";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"10.6";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"06.05.2024 04:00";"11.3";"732.8";"749.2";"";"89";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"06.05.2024 01:00";"13.2";"733.8";"750.1";"";"80";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"05.05.2024 22:00";"15.2";"735.4";"751.6";"";"66";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"05.05.2024 19:00";"20.0";"736.3";"752.4";"";"47";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"21.2";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"05.05.2024 16:00";"18.4";"737.3";"753.4";"";"52";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"05.05.2024 13:00";"18.4";"737.6";"753.7";"";"54";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"05.05.2024 10:00";"8.2";"738.7";"755.4";"";"92";"Ветер, дующий с востоко-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"05.05.2024 07:00";"3.5";"739.3";"756.4";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"3.4";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"05.05.2024 04:00";"4.5";"740.1";"757.2";"";"95";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"05.05.2024 01:00";"5.6";"740.8";"757.9";"";"92";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"04.05.2024 22:00";"6.5";"742.0";"759.0";"";"96";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"04.05.2024 19:00";"7.1";"742.4";"759.4";"";"93";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"7.9";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"04.05.2024 16:00";"7.6";"742.2";"759.1";"";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"04.05.2024 13:00";"7.1";"742.4";"759.4";"";"84";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"04.05.2024 10:00";"5.9";"742.3";"759.4";"";"83";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"04.05.2024 07:00";"5.0";"742.7";"759.8";"";"86";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"4.8";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"04.05.2024 04:00";"4.9";"741.9";"759.0";"";"86";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"04.05.2024 01:00";"5.4";"741.6";"758.6";"";"92";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"03.05.2024 22:00";"6.1";"741.4";"758.4";"";"90";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"03.05.2024 19:00";"9.5";"739.7";"756.4";"";"90";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"13.6";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"03.05.2024 16:00";"12.7";"739.3";"755.8";"";"62";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"03.05.2024 13:00";"12.1";"739.3";"755.8";"";"55";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"03.05.2024 10:00";"12.0";"739.0";"755.6";"";"48";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"03.05.2024 07:00";"10.3";"738.4";"755.1";"";"51";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"8.3";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"03.05.2024 04:00";"9.3";"738.2";"755.0";"";"54";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"03.05.2024 01:00";"9.1";"738.5";"755.3";"";"43";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"02.05.2024 22:00";"9.6";"739.3";"756.1";"";"37";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.5";"";"";"";"";"";"";
"02.05.2024 19:00";"11.5";"739.9";"756.5";"";"25";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"13.3";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"02.05.2024 16:00";"12.9";"741.4";"757.9";"";"23";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.9";"";"";"";"";"";"";
"02.05.2024 13:00";"11.0";"742.2";"758.9";"";"22";"Ветер, дующий с юга";"2";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.0";"";"";"";"";"";"";
"02.05.2024 10:00";"8.7";"742.6";"759.5";"";"27";"Ветер, дующий с юго-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.3";"";"";"";"";"";"";
"02.05.2024 07:00";"3.9";"741.4";"758.5";"";"53";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"2.7";"";"";"";"";"";"";"";"-4.9";"";"";"";"";"";"";
"02.05.2024 04:00";"3.1";"739.0";"756.1";"";"54";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.5";"";"";"";"";"";"";
"02.05.2024 01:00";"4.3";"737.1";"754.2";"";"40";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"01.05.2024 22:00";"5.4";"736.8";"753.7";"";"34";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.2";"";"";"";"";"";"";
"01.05.2024 19:00";"7.4";"737.5";"754.3";"";"30";"Ветер, дующий с востоко-юго-востока";"1";"";"";"";" ";"";"";"";"9.5";"";"";"";"";"";"";"-9.2";"";"";"";"";"";"";
"01.05.2024 16:00";"8.6";"739.0";"755.8";"";"26";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.0";"";"";"";"";"";"";
"01.05.2024 13:00";"5.8";"741.0";"758.0";"";"33";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.3";"";"";"";"";"";"";
"01.05.2024 10:00";"1.9";"742.9";"760.2";"";"45";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.0";"";"";"";"";"";"";
"01.05.2024 07:00";"-2.0";"744.1";"761.6";"";"74";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"-3.0";"";"";"";"";"";"";"";"-6.1";"";"";"";"";"";"";
"01.05.2024 04:00";"-2.1";"744.5";"762.1";"";"70";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"01.05.2024 01:00";"-0.6";"745.3";"762.9";"";"55";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.7";"";"";"";"";"";"";
"30.04.2024 22:00";"1.0";"745.8";"763.2";"";"50";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.4";"";"";"";"";"";"";
"30.04.2024 19:00";"2.9";"744.9";"762.1";"";"49";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"4.8";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"30.04.2024 16:00";"4.5";"744.1";"761.3";"";"44";"Ветер, дующий с западо-юго-запада";"3";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"30.04.2024 13:00";"3.3";"743.1";"760.3";"";"43";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"30.04.2024 10:00";"0.9";"741.7";"759.1";"";"58";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"-0.5";"";"";"";"";"";"";"";"-6.6";"";"";"";"";"";"";
"30.04.2024 07:00";"0.4";"740.4";"757.7";"";"68";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"0.3";"";"";"";"";"";"";"";"-4.9";"";"";"";"";"";"";
"30.04.2024 04:00";"0.9";"739.6";"756.8";"";"81";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"30.04.2024 01:00";"4.3";"737.8";"754.8";"";"87";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"29.04.2024 22:00";"9.4";"735.9";"752.5";"";"85";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"29.04.2024 19:00";"10.3";"736.3";"752.9";"";"77";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"13.6";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"29.04.2024 16:00";"10.1";"736.3";"752.9";"";"76";"Ветер, дующий с юго-запада";"3";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"29.04.2024 13:00";"10.0";"736.6";"753.3";"";"73";"Ветер, дующий с юго-юго-запада";"4";"14";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"29.04.2024 10:00";"13.4";"737.0";"753.4";"";"38";"Ветер, дующий с юго-юго-запада";"4";"11";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"29.04.2024 07:00";"13.3";"738.2";"754.7";"";"29";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"11.2";"";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"29.04.2024 04:00";"12.7";"739.6";"756.2";"";"32";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.8";"";"";"";"";"";"";
"29.04.2024 01:00";"13.0";"741.8";"758.4";"";"31";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.7";"";"";"";"";"";"";
"28.04.2024 22:00";"12.9";"743.8";"760.4";"";"31";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.1";"";"";"";"";"";"";
"28.04.2024 19:00";"14.8";"744.7";"761.2";"";"25";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"15.9";"";"";"";"";"";"";"-5.1";"";"";"";"";"";"";
"28.04.2024 16:00";"13.0";"746.5";"763.3";"";"32";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.6";"";"";"";"";"";"";
"28.04.2024 13:00";"12.7";"747.7";"764.5";"";"26";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.5";"";"";"";"";"";"";
"28.04.2024 10:00";"10.2";"748.8";"765.7";"";"35";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.7";"";"";"";"";"";"";
"28.04.2024 07:00";"2.8";"749.7";"767.1";"";"67";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"1.8";"";"";"";"";"";"";"";"-2.8";"";"";"";"";"";"";
"28.04.2024 04:00";"1.9";"750.1";"767.6";"";"71";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.9";"";"";"";"";"";"";
"28.04.2024 01:00";"4.2";"751.0";"768.3";"";"58";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.4";"";"";"";"";"";"";
"27.04.2024 22:00";"8.7";"751.0";"768.0";"";"36";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.8";"";"";"";"";"";"";
"27.04.2024 19:00";"12.9";"750.7";"767.5";"";"26";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"14.4";"";"";"";"";"";"";"-6.3";"";"";"";"";"";"";
"27.04.2024 16:00";"13.5";"751.3";"768.1";"";"26";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"27.04.2024 13:00";"12.0";"752.9";"769.9";"";"28";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.0";"";"";"";"";"";"";
"27.04.2024 10:00";"9.4";"754.0";"771.1";"";"36";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.9";"";"";"";"";"";"";
"27.04.2024 07:00";"1.5";"754.2";"771.8";"";"76";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"0.0";"";"";"";"";"";"";"";"-2.4";"";"";"";"";"";"";
"27.04.2024 04:00";"0.8";"754.0";"771.6";"";"79";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"";"";"";"";"";"";
"27.04.2024 01:00";"2.4";"753.6";"771.1";"";"71";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.4";"";"";"";"";"";"";
"26.04.2024 22:00";"6.3";"752.9";"770.2";"";"51";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"";"";"";"";"";"";
"26.04.2024 19:00";"10.6";"752.5";"769.6";"";"33";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"12.1";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"26.04.2024 16:00";"10.6";"752.2";"769.3";"";"33";"Ветер, дующий с западо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.0";"";"";"";"";"";"";
"26.04.2024 13:00";"10.3";"752.7";"769.7";"";"42";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.3";"";"";"";"";"";"";
"26.04.2024 10:00";"3.5";"753.7";"771.1";"";"59";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.8";"";"";"";"";"";"";
"26.04.2024 07:00";"0.7";"753.7";"771.4";"";"51";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"-0.4";"";"";"";"";"";"";"";"-8.5";"";"";"";"";"";"";
"26.04.2024 04:00";"-0.3";"753.5";"771.2";"";"53";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.9";"";"";"";"";"";"";
"26.04.2024 01:00";"0.3";"753.5";"771.2";"";"48";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.5";"";"";"";"";"";"";
"25.04.2024 22:00";"3.2";"753.0";"770.5";"";"36";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.4";"";"";"";"";"";"";
